Date_Key,Date,Year,Month,MonthName,Week,WeekDay,WeekDayName,DayNumber
20160418,4/18/2016,2016,4,April,17,2,Monday,18
20160419,4/19/2016,2016,4,April,17,3,Tuesday,19
20160420,4/20/2016,2016,4,April,17,4,Wednesday,20
20160421,4/21/2016,2016,4,April,17,5,Thursday,21
20160422,4/22/2016,2016,4,April,17,6,Friday,22
20160423,4/23/2016,2016,4,April,17,7,Saturday,23
20160424,4/24/2016,2016,4,April,18,1,Sunday,24
20160425,4/25/2016,2016,4,April,18,2,Monday,25
20160426,4/26/2016,2016,4,April,18,3,Tuesday,26
20160427,4/27/2016,2016,4,April,18,4,Wednesday,27
20160428,4/28/2016,2016,4,April,18,5,Thursday,28
20160429,4/29/2016,2016,4,April,18,6,Friday,29
20160430,4/30/2016,2016,4,April,18,7,Saturday,30
20160501,5/1/2016,2016,5,May,19,1,Sunday,1
20160502,5/2/2016,2016,5,May,19,2,Monday,2
20160503,5/3/2016,2016,5,May,19,3,Tuesday,3
20160504,5/4/2016,2016,5,May,19,4,Wednesday,4
20160505,5/5/2016,2016,5,May,19,5,Thursday,5
20160506,5/6/2016,2016,5,May,19,6,Friday,6
20160507,5/7/2016,2016,5,May,19,7,Saturday,7
20160508,5/8/2016,2016,5,May,20,1,Sunday,8
20160509,5/9/2016,2016,5,May,20,2,Monday,9
20160510,5/10/2016,2016,5,May,20,3,Tuesday,10
20160511,5/11/2016,2016,5,May,20,4,Wednesday,11
20160512,5/12/2016,2016,5,May,20,5,Thursday,12
20160513,5/13/2016,2016,5,May,20,6,Friday,13
20160514,5/14/2016,2016,5,May,20,7,Saturday,14
20160515,5/15/2016,2016,5,May,21,1,Sunday,15
20160516,5/16/2016,2016,5,May,21,2,Monday,16
20160517,5/17/2016,2016,5,May,21,3,Tuesday,17
20160518,5/18/2016,2016,5,May,21,4,Wednesday,18
20160519,5/19/2016,2016,5,May,21,5,Thursday,19
20160520,5/20/2016,2016,5,May,21,6,Friday,20
20160521,5/21/2016,2016,5,May,21,7,Saturday,21
20160522,5/22/2016,2016,5,May,22,1,Sunday,22
20160523,5/23/2016,2016,5,May,22,2,Monday,23
20160524,5/24/2016,2016,5,May,22,3,Tuesday,24
20160525,5/25/2016,2016,5,May,22,4,Wednesday,25
20160526,5/26/2016,2016,5,May,22,5,Thursday,26
20160527,5/27/2016,2016,5,May,22,6,Friday,27
20160528,5/28/2016,2016,5,May,22,7,Saturday,28
20160529,5/29/2016,2016,5,May,23,1,Sunday,29
20160530,5/30/2016,2016,5,May,23,2,Monday,30
20160531,5/31/2016,2016,5,May,23,3,Tuesday,31
20160601,6/1/2016,2016,6,June,23,4,Wednesday,1
20160602,6/2/2016,2016,6,June,23,5,Thursday,2
20160603,6/3/2016,2016,6,June,23,6,Friday,3
20160604,6/4/2016,2016,6,June,23,7,Saturday,4
20160605,6/5/2016,2016,6,June,24,1,Sunday,5
